単語番号,日,種類,ファイル名,長さ(秒),開始(フレーム),終了(フレーム)
058,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.3,2440704,2540544
059,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,0.9,2584064,2624512
059,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.8,2640384,2676224
059,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.0,2700288,2789888
060,05,中国語,054_Kikutan_Chinese_Nyumon.mp3,1.0,2831872,2874880
060,05,日本語,054_Kikutan_Chinese_Nyumon.mp3,0.5,2891776,2913280
060,05,例文1,054_Kikutan_Chinese_Nyumon.mp3,2.9,2942976,3071488
060,05,例文2,054_Kikutan_Chinese_Nyumon.mp3,2.9,3086336,3214848
061,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.7,131584,161792
061,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.8,171008,206848
061,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.8,214016,339456
062,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.8,368640,405504
062,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.9,423936,462848
062,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.3,479232,579072
062,06,例文2,055_Kikutan_Chinese_Nyumon.mp3,2.1,588800,681472
063,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.9,720896,760832
063,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.4,773120,791040
063,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.0,815104,902656
064,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.7,941568,970240
064,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.7,986112,1015808
064,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.4,1035264,1139712
065,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,1.1,1189888,1236992
065,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.9,1246208,1285632
065,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.8,1299456,1422336
066,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.8,1470464,1505792
066,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.7,1522688,1551872
066,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.6,1575424,1691136
067,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.6,1733120,1761280
067,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.7,1792512,1821184
067,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,1.4,1840128,1900032
067,06,例文2,055_Kikutan_Chinese_Nyumon.mp3,1.4,1922560,1982464
068,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.6,2009088,2036736
068,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.8,2060800,2098176
068,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,1.7,2109952,2183680
069,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,1.1,2208768,2256896
069,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.6,2267648,2294272
069,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.5,2319872,2430464
070,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.6,2458112,2484224
070,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.7,2496512,2525184
070,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.6,2545664,2660864
071,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,1.2,2684416,2738176
071,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.7,2755072,2787328
071,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.8,2800128,2923008
072,06,中国語,055_Kikutan_Chinese_Nyumon.mp3,0.6,2953216,2977792
072,06,日本語,055_Kikutan_Chinese_Nyumon.mp3,0.8,2987008,3020288
072,06,例文1,055_Kikutan_Chinese_Nyumon.mp3,2.1,3045376,3136000
073,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.8,125440,161792
073,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.9,181760,221696
073,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,1.9,242176,327680
074,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.9,362496,403456
074,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,1.0,410624,455680
074,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,2.1,473088,565760
075,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.8,600064,636416
075,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.9,649728,689664
075,07,例文1,056_Kikutan_Chinese_Nyumon.mp3,2.7,710656,830464
076,07,中国語,056_Kikutan_Chinese_Nyumon.mp3,0.9,865280,906240
076,07,日本語,056_Kikutan_Chinese_Nyumon.mp3,0.6,914944,941056
